323, 59, 369, 59, 369, 114, 323, 114, r
413, 75, 443, 75, 443, 116, 413, 116, 4
248, 107, 327, 107, 327, 166, 248, 166, 190
38, 193, 474, 193, 474, 227, 38, 227, gerbang alaf restaurants sdn bhd
189, 226, 315, 226, 315, 259, 189, 259, 65351m
135, 260, 366, 260, 366, 293, 135, 293, formerly non gas
26, 292, 474, 292, 474, 323, 26, 323, golden arches restaurants sdn bhd
107, 327, 407, 327, 407, 357, 107, 357, licensee sof mcdonalds
0, 355, 528, 355, 528, 391, 0, 391, level 6 bangunan teh damansara sotong
0, 387, 526, 387, 526, 424, 0, 424, nor jalan s21394740 petaling jay
203, 426, 309, 426, 309, 454, 203, 454, selangor
95, 455, 431, 455, 431, 486, 95, 486, gst pid nor 050464064
25, 489, 496, 489, 496, 520, 25, 520, mcdonalds s petronas taman melawati dpt
110, 520, 404, 520, 404, 550, 110, 550, tel nor 0341473107
190, 554, 338, 554, 338, 588, 190, 588, tax invoice
198, 620, 341, 620, 341, 654, 198, 654, mfy side 1
0, 679, 63, 679, 63, 715, 0, 715, inv
109, 686, 274, 686, 274, 717, 109, 717, 1419016842
0, 712, 498, 712, 498, 751, 0, 751, ord 9o red 19 18012018 175091
0, 746, 116, 746, 116, 781, 0, 781, qty its
456, 751, 524, 751, 524, 783, 456, 783, total
31, 783, 233, 783, 233, 817, 31, 817, 2 m spicydelune
461, 786, 528, 786, 528, 817, 461, 817, 2540
59, 815, 166, 815, 166, 849, 59, 849, 2 m coke
58, 851, 179, 851, 179, 881, 58, 881, 2 m fries
31, 882, 228, 882, 228, 917, 31, 917, 1 m grilchicbg
457, 883, 528, 883, 528, 917, 457, 917, 1250
59, 916, 167, 916, 167, 949, 59, 949, 1 m coke
59, 948, 182, 948, 182, 981, 59, 981, 1 m fries
31, 981, 194, 981, 194, 1013, 31, 1013, 1 seal cone
469, 984, 530, 984, 530, 1017, 469, 1017, 10
0, 1042, 325, 1042, 325, 1079, 0, 1079, takeout total incl gst
457, 1050, 530, 1050, 530, 1079, 457, 1079, 3890
0, 1078, 182, 1078, 182, 1110, 0, 1110, total rounded
457, 1083, 530, 1083, 530, 1115, 457, 1115, 3890
0, 1110, 183, 1110, 183, 1147, 0, 1147, cash tendered
456, 1116, 530, 1116, 530, 1147, 456, 1147, 500
0, 1144, 84, 1144, 84, 1176, 0, 1176, change
457, 1144, 528, 1144, 528, 1179, 457, 1179, 110
0, 1208, 284, 1208, 284, 1244, 0, 1244, total includes s gst
470, 1215, 528, 1215, 528, 1247, 470, 1247, 220
110, 1310, 469, 1310, 469, 1344, 110, 1344, love cto hear your feedback
40, 1309, 57, 1309, 57, 1340, 40, 1340, 1
69, 1377, 444, 1377, 444, 1412, 69, 1412, visit wwwmcdfeedbackcommy
239, 1413, 274, 1413, 274, 1442, 239, 1442, nor
65, 1444, 463, 1444, 463, 1480, 65, 1480, download mfy nor feedback from
121, 1475, 405, 1475, 405, 1510, 121, 1510, google playapp store
95, 1545, 418, 1545, 418, 1578, 95, 1578, cto share your experience
30, 1609, 457, 1609, 457, 1642, 30, 1642, thank you and please come again
0, 1640, 528, 1640, 528, 1675, 0, 1675, customer service hotline 032725560
