117, 61, 240, 61, 240, 84, 117, 84, tan cha
286, 62, 326, 62, 326, 85, 286, 85, e
235, 66, 283, 66, 283, 93, 235, 93, y 3
59, 119, 303, 119, 303, 137, 59, 137, bjc marketing sdn bhd
100, 142, 263, 142, 263, 159, 100, 159, roc nor 538358h
81, 164, 279, 164, 279, 184, 81, 184, nor 2 4 jalan kayu 4
99, 185, 263, 185, 263, 207, 99, 207, bandar seri alam
94, 207, 269, 207, 269, 225, 94, 225, 81750 masai johor
51, 228, 315, 228, 315, 246, 51, 246, tel0738 218 fax0738 8218
84, 252, 278, 252, 278, 268, 84, 268, email nghoicgroupcom
141, 292, 222, 292, 222, 311, 141, 311, cash bif
46, 316, 58, 316, 58, 327, 46, 327, 5
24, 325, 241, 325, 241, 341, 24, 341, invoice nor pegiv1030531
128, 345, 317, 345, 317, 363, 128, 363, 02012019 24714 pms
25, 347, 66, 347, 66, 364, 25, 364, date
24, 369, 84, 369, 84, 384, 24, 384, cashier
121, 368, 214, 368, 214, 385, 121, 385, thye tan
26, 390, 182, 390, 182, 406, 26, 406, sales persor fatin
24, 432, 104, 432, 104, 446, 24, 446, desciption
205, 431, 316, 431, 316, 446, 205, 446, price amount
148, 436, 190, 436, 190, 453, 148, 453, 2hl
21, 451, 96, 451, 96, 468, 21, 468, 01
167, 451, 317, 451, 317, 468, 167, 468, 1 1700 1700
21, 472, 122, 472, 122, 488, 21, 488, ing safety
166, 472, 205, 472, 205, 488, 166, 488, p0o4
24, 489, 134, 489, 134, 505, 24, 505, shoes kad 805
181, 511, 212, 511, 212, 521, 181, 521, e
24, 520, 223, 520, 223, 536, 24, 536, qty l total item discount
280, 519, 318, 519, 318, 537, 280, 537, 00
119, 542, 222, 542, 222, 558, 119, 558, total amount
267, 539, 317, 539, 317, 558, 267, 558, 1700
135, 563, 218, 563, 218, 577, 135, 577, round amt
283, 563, 317, 563, 317, 577, 283, 577, 00
111, 566, 222, 566, 222, 586, 111, 586, umoe
268, 568, 328, 568, 328, 586, 268, 586, l5
157, 587, 317, 587, 317, 606, 157, 606, total 1700
125, 614, 203, 614, 203, 630, 125, 630, visa card
267, 615, 318, 615, 318, 630, 267, 630, 1700
75, 638, 203, 638, 203, 652, 75, 652, x4318
384, 651, 394, 651, 394, 668, 384, 668, 1
71, 657, 203, 657, 203, 673, 71, 673, approval codemal
286, 679, 405, 679, 405, 707, 286, 707, tjv
31, 730, 332, 730, 332, 746, 31, 746, goods sold are not returnable refundable
289, 748, 315, 748, 315, 760, 289, 760, cas
75, 750, 288, 750, 288, 765, 75, 765, thank you please come again
